Year,Winner,Finalist
2000,SC Corinthians,CR Vasco da Gama
2005,São Paulo FC,Liverpool FC
2006,SC Internacional,Barcelona
2007,Milan,Boca Juniors
2008,Manchester Utd,LDU Quito
2009,Barcelona,Estudiantes de La Plata
2010,Inter Milan,TP Mazembe
2011,Barcelona,Santos FC
2012,SC Corinthians,Chelsea FC
2013,Bayern Munich,Raja Club Athletic
2014,Real Madrid,San Lorenzo
2015,Barcelona,River Plate
2016,Real Madrid,Kashima Antlers
2017,Real Madrid,Grêmio
2018,Real Madrid,Al-Aïn
2019,Liverpool,CR Flamengo
2020,Bayern Munich,Tigres UANL
